description,amount,date,category,paymentMethod,notes,type,currency
Plumber maintenance,700,2024-10-15,Rent,Cash,Plumbing maintenance,expense,INR
Monthly rent,18000,2024-11-01,Rent,Bank Transfer,November rent,expense,INR
Society maintenance,2500,2024-11-10,Rent,Bank Transfer,November maintenance,expense,INR
Parking,800,2024-11-15,Rent,Bank Transfer,November parking,expense,INR
Monthly rent,18000,2024-12-01,Rent,Bank Transfer,December rent,expense,INR
Society maintenance,2500,2024-12-10,Rent,Bank Transfer,December maintenance,expense,INR
Annual deposit,3000,2024-12-15,Rent,Bank Transfer,Annual deposit,expense,INR
Monthly rent,18000,2025-01-01,Rent,Bank Transfer,January 2025 rent,expense,INR
Society maintenance,2500,2025-01-10,Rent,Bank Transfer,January maintenance,expense,INR
Parking,800,2025-01-15,Rent,Bank Transfer,Parking,expense,INR
Monthly rent,18000,2025-02-01,Rent,Bank Transfer,February 2025 rent,expense,INR
Society maintenance,2500,2025-02-10,Rent,Bank Transfer,February maintenance,expense,INR
Touch up painting,5000,2025-02-15,Rent,Cash,Touch up painting,expense,INR
Monthly rent,18000,2025-03-01,Rent,Bank Transfer,March 2025 rent,expense,INR
Society maintenance,2500,2025-03-10,Rent,Bank Transfer,March maintenance,expense,INR
Parking,800,2025-03-15,Rent,Bank Transfer,March parking,expense,INR
Revised rent,19000,2025-04-01,Rent,Bank Transfer,Revised rent April,expense,INR
Society maintenance,2500,2025-04-10,Rent,Bank Transfer,April 2025 maintenance,expense,INR
Monthly rent,19000,2025-05-01,Rent,Bank Transfer,May 2025 rent,expense,INR
Society maintenance,2500,2025-05-10,Rent,Bank Transfer,May 2025 maintenance,expense,INR
Parking,800,2025-05-15,Rent,Bank Transfer,May parking,expense,INR
Vegetables,350,2024-01-04,Groceries,Cash,Weekly veggies,expense,INR
Fruits basket,280,2024-01-11,Groceries,UPI,Fruit basket,expense,INR
BigBasket order,1800,2024-01-18,Groceries,Card,Weekly grocery,expense,INR
Milk & dairy,400,2024-01-25,Groceries,UPI,Monthly dairy,expense,INR
Market vegetables,300,2024-02-05,Groceries,Cash,Market veggies,expense,INR
BigBasket,2200,2024-02-12,Groceries,Card,Groceries order,expense,INR
Fresh fruits,250,2024-02-19,Groceries,UPI,Fresh fruits,expense,INR
Blinkit quick delivery,1200,2024-02-26,Groceries,UPI,Quick delivery,expense,INR
Weekly vegetables,380,2024-03-04,Groceries,Cash,Weekly vegetables,expense,INR
BigBasket monthly,1900,2024-03-11,Groceries,Card,Monthly groceries,expense,INR
Seasonal fruits,320,2024-03-18,Groceries,UPI,Seasonal fruits,expense,INR
Dairy products,450,2024-03-25,Groceries,UPI,Milk curd paneer,expense,INR
Vegetables,350,2024-04-04,Groceries,Cash,Veggies,expense,INR
Zepto order,1500,2024-04-11,Groceries,UPI,Quick groceries,expense,INR
BigBasket weekly,2100,2024-04-18,Groceries,Card,Weekly order,expense,INR
Market fruits,300,2024-04-25,Groceries,Cash,Market fruits,expense,INR
Weekly veggies,360,2024-05-04,Groceries,Cash,Weekly veggies,expense,INR
BigBasket,1750,2024-05-11,Groceries,Card,Groceries,expense,INR
D-Mart shopping,2800,2024-05-18,Groceries,Card,D-Mart shopping,expense,INR
Milk & eggs,400,2024-05-25,Groceries,UPI,Milk & eggs,expense,INR
Monsoon vegetables,400,2024-06-04,Groceries,Cash,Monsoon veggies,expense,INR
BigBasket monthly,2000,2024-06-11,Groceries,Card,Monthly groceries,expense,INR
Mango season fruits,350,2024-06-18,Groceries,UPI,Mango season,expense,INR
Zepto quick order,1300,2024-06-25,Groceries,UPI,Quick order,expense,INR
Market fresh veggies,420,2024-07-04,Groceries,Cash,Market fresh,expense,INR
BigBasket July,2100,2024-07-11,Groceries,Card,July groceries,expense,INR
Milk products,450,2024-07-18,Groceries,UPI,Milk products,expense,INR
D-Mart bulk buy,3200,2024-07-25,Groceries,Card,D-Mart bulk buy,expense,INR
Weekly vegetables,380,2024-08-04,Groceries,Cash,Weekly veggies,expense,INR
BigBasket August,1950,2024-08-11,Groceries,Card,August grocery,expense,INR
Fresh fruits,300,2024-08-18,Groceries,UPI,Fresh fruits,expense,INR
Blinkit fast delivery,1100,2024-08-25,Groceries,UPI,Fast delivery,expense,INR
Navratri vegetables,350,2024-09-04,Groceries,Cash,Navratri veggies,expense,INR
BigBasket September,2200,2024-09-11,Groceries,Card,September order,expense,INR
Dairy products,480,2024-09-18,Groceries,UPI,Dairy products,expense,INR
Fruits,280,2024-09-25,Groceries,Cash,Fruits,expense,INR
Festival vegetables,360,2024-10-04,Groceries,Cash,Festival veggies,expense,INR
BigBasket October,1800,2024-10-11,Groceries,Card,October groceries,expense,INR
Festive supermarket,2500,2024-10-18,Groceries,Card,Festive shopping,expense,INR
Diwali fruits,320,2024-10-25,Groceries,UPI,Diwali fruits,expense,INR
Weekly vegetables,350,2024-11-04,Groceries,Cash,Weekly veggies,expense,INR
BigBasket November,1900,2024-11-11,Groceries,Card,November order,expense,INR
Milk & curd,400,2024-11-18,Groceries,UPI,Milk & curd,expense,INR
Zepto delivery,1200,2024-11-25,Groceries,UPI,Quick delivery,expense,INR
December vegetables,380,2024-12-04,Groceries,Cash,December veggies,expense,INR
BigBasket year end,2300,2024-12-11,Groceries,Card,Year end stock up,expense,INR
Christmas groceries,3500,2024-12-18,Groceries,Card,Christmas groceries,expense,INR
Christmas fruits,350,2024-12-25,Groceries,Cash,Christmas fruits,expense,INR
BigBasket January,2000,2025-01-10,Groceries,Card,January groceries,expense,INR
February vegetables,380,2025-02-08,Groceries,Cash,February veggies,expense,INR
Weekend train trip,1200,2024-01-08,Travel,Card,Weekend trip tickets,expense,INR
Hotel weekend stay,3500,2024-01-09,Travel,Card,Weekend hotel,expense,INR
Mumbai Delhi flight,5500,2024-02-10,Travel,Card,Business flight,expense,INR
Airport cab,650,2024-02-11,Travel,UPI,Airport cab,expense,INR
Business hotel,6000,2024-02-12,Travel,Card,Business trip hotel,expense,INR
Pune train tickets,800,2024-03-08,Travel,Card,Pune trip tickets,expense,INR
Pune hotel,4000,2024-03-09,Travel,Card,Pune hotel,expense,INR
Pune sightseeing,1200,2024-03-10,Travel,Cash,Pune sightseeing,expense,INR
Bangalore Goa flight,8500,2024-04-10,Travel,Card,Holiday flight,expense,INR
Goa resort,12000,2024-04-11,Travel,Card,Goa resort,expense,INR
Goa water sports,3000,2024-04-12,Travel,Cash,Goa activities,expense,INR
Goa dining,1800,2024-04-13,Travel,Card,Goa food expenses,expense,INR
Summer vacation train,1500,2024-05-10,Travel,Card,Summer vacation,expense,INR
Vacation hotel,5000,2024-05-11,Travel,Card,Vacation hotel,expense,INR
Day tour sightseeing,2500,2024-05-12,Travel,Cash,Day tour,expense,INR
Domestic flight,7500,2024-06-15,Travel,Card,Domestic flight,expense,INR
Airport cab transfer,700,2024-06-15,Travel,UPI,Cab transfer,expense,INR
3-star hotel,8000,2024-06-16,Travel,Card,3-star hotel,expense,INR
Monsoon train trip,1200,2024-07-04,Travel,Card,Monsoon trip,expense,INR
Weekend getaway hotel,4500,2024-07-05,Travel,Card,Weekend getaway,expense,INR
Tourist sightseeing,2000,2024-07-06,Travel,Cash,Sightseeing,expense,INR
Holiday flight,9500,2024-08-10,Travel,Card,Holiday flight,expense,INR
Independence day hotel,10000,2024-08-11,Travel,Card,Independence day trip,expense,INR
Trip food expenses,3500,2024-08-12,Travel,Card,Travel food,expense,INR
Local autos cabs,800,2024-08-13,Travel,Cash,Autos & cabs,expense,INR
State bus ticket,450,2024-09-06,Travel,Card,State transport,expense,INR
Budget hotel,3500,2024-09-07,Travel,Card,Budget hotel,expense,INR
Festival train travel,1600,2024-10-05,Travel,Card,Festival travel,expense,INR
Dussehra trip hotel,5500,2024-10-06,Travel,Card,Dussehra trip,expense,INR
Local tour,1500,2024-10-07,Travel,Cash,Local tour,expense,INR
Diwali vacation flight,12000,2024-11-08,Travel,Card,Diwali vacation,expense,INR
Diwali holiday hotel,15000,2024-11-09,Travel,Card,Diwali holiday hotel,expense,INR
Holiday dining,4500,2024-11-10,Travel,Card,Holiday dining,expense,INR
Tourist spots,3000,2024-11-11,Travel,Cash,Tourist spots,expense,INR
December train trip,900,2024-12-07,Travel,Card,December trip,expense,INR
December hotel stay,4000,2024-12-08,Travel,Card,Weekend stay,expense,INR
Christmas vacation flight,18000,2024-12-20,Travel,Card,Christmas vacation,expense,INR
Holiday resort,20000,2024-12-21,Travel,Card,Holiday resort,expense,INR
Holiday activities,5000,2024-12-22,Travel,Cash,Holiday activities,expense,INR
Christmas dining,6000,2024-12-23,Travel,Card,Christmas dining,expense,INR
Getting around,1200,2024-12-24,Travel,Cash,Local transport,expense,INR
New year flight,7500,2025-01-10,Travel,Card,New year trip,expense,INR
Vacation hotel Jan,8500,2025-01-11,Travel,Card,Vacation hotel,expense,INR
Tourist activities Jan,2000,2025-01-12,Travel,Cash,Tourist activities,expense,INR
Long weekend train,1800,2025-02-08,Travel,Card,Long weekend,expense,INR
Valentines trip hotel,6000,2025-02-09,Travel,Card,Valentine trip,expense,INR
Trip meals,3000,2025-02-10,Travel,Card,Trip meals,expense,INR
Holi vacation flight,9000,2025-03-08,Travel,Card,Holi vacation,expense,INR
Holi trip hotel,8000,2025-03-09,Travel,Card,Holi trip hotel,expense,INR
Festival activities,3500,2025-03-10,Travel,Cash,Festival activities,expense,INR
